table,Variable,Analysis,Site,Value,Zone,,,,,,,,Log10 Fitness,,,Log10 Size (HxWxL; cm3),,,Height (cm),,,ÃNo. of Branches,,,,,,,,Log10 Dist. to Neighbour (cm),,,Ranked Seed Set Ratio,,,Log10 Growth Rate (cm3/day),,,ÃFlowering Duration (days),,
2,SIZE,CV,LH,250,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,CV,LH,119,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,CV,MNS,74,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,CV,MNS,304,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,CV,TH,91,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,CV,TH,171,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,mean,AR,103438,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,mean,AR,22944,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,mean,BH,125717,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,mean,BH,3266,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,mean,DB,410,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,mean,DB,223,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,mean,KB,145442,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,mean,KB,11612,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,mean,LH,55578,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,mean,LH,12566,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,mean,MNS,12691,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,mean,MNS,1697,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,mean,TH,216207,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,mean,TH,111683,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,sd,AR,142788,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,sd,AR,22663,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,sd,BH,251092,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,sd,BH,12454,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,sd,DB,722,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,sd,DB,463,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,sd,KB,141095,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,sd,KB,12847,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,sd,LH,139191,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,sd,LH,14943,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,sd,MNS,9394,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,sd,MNS,5167,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,sd,TH,196569,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SIZE,sd,TH,190675,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,CV,AR,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,CV,AR,34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,CV,BH,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,CV,BH,63,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,CV,DB,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,CV,DB,39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,CV,KB,42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,CV,KB,31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,CV,LH,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,CV,LH,41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,CV,MNS,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,CV,MNS,34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,CV,TH,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,CV,TH,42,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,mean,AR,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,mean,AR,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,mean,BH,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,mean,BH,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,mean,DB,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,mean,DB,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,mean,KB,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,mean,KB,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,mean,LH,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,mean,LH,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,mean,MNS,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,mean,MNS,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,mean,TH,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,mean,TH,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,sd,AR,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,sd,AR,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,sd,BH,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,sd,BH,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,sd,DB,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,sd,DB,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,sd,KB,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,sd,KB,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,sd,LH,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,sd,LH,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,sd,MNS,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,sd,MNS,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,sd,TH,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Height,sd,TH,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,CV,AR,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Branches,CV,AR,39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
